Gender,Age,Education,Marital_Status,Employment_Status,Annual_Income,Co_Applicant_Income,State,Family_Members,Loan_Types,Savings_Balance,Existing_Loans,Home_Ownership,Mortgage,Loan_Amount,Loan_Term,Interest_Rate,Credit_History,Previous_Defaults,No_Of_Open_Accounts,Missed_Payments,Property_Area,Property_Value,Loan_Approveled
Female,23,Not Graduate,Single,Employed,104200,149700,Bihar,5,Home Loan,70070,2,Rent,Land/Plot,889040,301,7.86,Good,0,3,0,Rural,865300,0
Female,66,Graduate,Single,Self-employed,996900,205500,Madhya Pradesh,5,Car Loan / Vehicle Loan,198980,1,Own,Car / Vehicle,555600,63,12.1,Good,0,8,3,Semi-urban,341400,1
Male,59,Undergraduate,Single,Self-employed,537700,0,Uttar Pradesh,4,Education Loan,234980,1,Rent,Agricultural Land,260100,26,7.0,Good,0,2,0,Urban,329200,1
Female,45,Graduate,Married,Self-employed,744300,0,Meghalaya,3,Gold Loan,45020,3,Own,Gold,273460,28,12.75,Good,1,12,0,Urban,2893100,1
Male,45,Graduate,Married,Self-employed,463100,0,Gujarat,2,Travel Loan,98640,1,Rent,Home,95660,6,11.54,Good,0,9,0,Semi-urban,48700,1
Female,72,Undergraduate,Single,Employed,703700,137700,Puducherry,4,Home Loan,61010,0,Own,House,1451890,287,7.46,Good,0,9,0,Urban,1133000,1
Female,23,Graduate,Single,Employed,278300,0,Haryana,0,Business Loan,124780,1,Rent,Commercial Property,1505260,171,13.34,Good,1,10,0,Semi-urban,1386700,0
Male,61,Undergraduate,Divorced,Unemployed,93900,0,Bihar,3,Home Loan,26010,0,Family,House,1847890,317,8.61,Good,1,7,0,Urban,768400,0
Male,30,Undergraduate,Married,Employed,362400,0,Maharashtra,10,Home Loan,201150,1,Rent,Apartment/Flat,834960,231,14.35,Bad,4,3,3,Semi-urban,3014300,0
Female,23,Graduate,Married,Self-employed,159700,0,Chhattisgarh,1,Personal Loan,81020,0,Rent,Home,161040,18,13.84,Good,0,8,0,Urban,183900,1
Male,51,Graduate,Single,Employed,1149900,0,Sikkim,8,Business Loan,849620,1,Own,Commercial Property,1824350,134,13.53,Bad,1,3,4,Urban,1873100,0
Female,79,Undergraduate,Single,Unemployed,218000,0,Meghalaya,0,Gold Loan,35490,0,Family,Gold,131130,17,12.32,Bad,0,4,4,Rural,1843100,1
Female,64,Not Graduate,Married,Self-employed,274200,0,Ladakh,8,Car Loan / Vehicle Loan,19560,0,Rent,Car / Vehicle,227520,47,10.77,Good,0,1,0,Urban,199900,1
Female,65,Graduate,Married,Employed,444400,0,Gujarat,2,Gold Loan,631390,0,Rent,Gold,381240,12,13.29,Bad,0,11,6,Urban,1385300,0
Male,63,Not Graduate,Married,Self-employed,346400,275200,Jharkhand,7,Home Loan,67390,0,Family,Apartment/Flat,7716550,285,10.45,Good,0,6,0,Urban,2866800,0
Female,67,Undergraduate,Married,Employed,357900,69800,Tripura,5,Business Loan,103730,0,Rent,Commercial Property,390390,36,19.07,Bad,0,7,2,Urban,5974400,1
Female,50,Undergraduate,Single,Employed,798000,0,Uttar Pradesh,8,Startup Loan,565360,1,Rent,Commercial Property,3202990,222,14.77,Good,0,11,1,Urban,830800,0
Male,26,Graduate,Married,Self-employed,214300,0,Madhya Pradesh,7,Education Loan,50960,0,Rent,Agricultural Land,210120,171,9.64,Bad,0,3,5,Urban,93700,1
Male,70,Undergraduate,Single,Employed,172200,333500,Ladakh,6,Gold Loan,20730,1,Family,Gold,782650,28,12.15,Good,0,10,0,Urban,2335200,1
Male,46,Undergraduate,Single,Employed,309800,90000,Dadra and Nagar Haveli and Daman and Diu,8,Personal Loan,506330,1,Rent,Home,633730,13,6.47,Good,0,10,0,Semi-urban,346500,1
Male,49,Graduate,Married,Employed,716700,78700,Tamil Nadu,10,Personal Loan,138900,1,Own,Home,65920,44,14.79,Bad,0,7,3,Rural,72800,1
Female,41,Not Graduate,Married,Unemployed,133700,129900,Uttarakhand,6,Home Loan,176380,0,Rent,Apartment/Flat,1266480,274,10.37,Bad,0,6,5,Urban,2725800,0
Male,29,Not Graduate,Married,Employed,186200,0,Punjab,1,Car Loan / Vehicle Loan,75330,0,Rent,Car / Vehicle,1562370,24,10.62,Good,0,14,2,Rural,168600,0
Female,76,Undergraduate,Married,Self-employed,303000,0,Mizoram,1,Education Loan,204570,1,Rent,Agricultural Land,104930,115,8.89,Good,0,11,0,Rural,122800,1
Male,67,Undergraduate,Married,Employed,384200,378500,Punjab,6,Business Loan,255410,2,Rent,Land/Plot,434520,88,13.43,Bad,1,9,2,Semi-urban,954200,0
Male,58,Undergraduate,Married,Employed,274500,98700,Dadra and Nagar Haveli and Daman and Diu,4,Car Loan / Vehicle Loan,59670,0,Rent,Car / Vehicle,1222560,22,10.51,Good,1,11,1,Semi-urban,111400,0
Male,43,Undergraduate,Single,Self-employed,102900,0,Andhra Pradesh,6,Business Loan,50300,1,Rent,Commercial Property,1622270,153,13.82,Good,0,13,0,Urban,1090400,0
Female,69,Undergraduate,Married,Employed,246300,0,Bihar,7,Consumer Durable Loan,361430,1,Rent,Home,181880,12,16.57,Good,0,12,0,Urban,169800,1
Female,52,Graduate,Married,Self-employed,710700,0,Nagaland,2,Startup Loan,618750,2,Own,Other,497240,119,14.19,Good,0,4,2,Rural,1393500,1
Male,45,Graduate,Married,Self-employed,411100,0,Rajasthan,8,Travel Loan,314110,3,Rent,Home,97710,17,12.96,Good,0,6,1,Rural,41200,1
Female,46,Graduate,Married,Unemployed,119900,0,Gujarat,10,Home Loan,63030,1,Rent,Apartment/Flat,1867150,216,10.2,Good,0,2,1,Urban,1985300,0
Male,32,Not Graduate,Married,Self-employed,383700,250500,Sikkim,3,Gold Loan,107420,0,Rent,Gold,241580,19,10.08,Good,0,4,0,Urban,1812200,1
Male,23,Graduate,Single,Employed,139400,0,Andhra Pradesh,10,Credit Card Loan,21330,1,Rent,Home,23200,30,14.8,Good,0,6,0,Urban,91600,1
Male,52,Not Graduate,Single,Self-employed,200000,0,Himachal Pradesh,10,Business Loan,217450,0,Rent,Land/Plot,2265700,97,12.77,Good,0,9,0,Urban,1707600,0
Other,73,Graduate,Married,Employed,590200,0,Mizoram,4,Home Loan,113700,3,Family,Apartment/Flat,819330,325,6.0,Good,0,3,0,Rural,810900,1
Female,22,Graduate,Single,Employed,154000,0,Arunachal Pradesh,8,Personal Loan,31660,1,Rent,Home,1160660,20,12.01,Good,0,13,0,Urban,346300,0
Female,72,Not Graduate,Married,Employed,199000,0,Tamil Nadu,10,Business Loan,61320,1,Rent,Commercial Property,730690,85,10.64,Good,0,13,0,Semi-urban,773700,0
Male,70,Undergraduate,Single,Self-employed,1006700,0,Punjab,9,Home Loan,94790,1,Family,Land/Plot,6984110,232,12.81,Bad,4,2,3,Rural,1281300,0
Male,35,Graduate,Single,Employed,192000,0,Rajasthan,4,Car Loan / Vehicle Loan,43310,0,Family,Car / Vehicle,1632890,82,6.8,Good,0,8,0,Urban,69500,0
Female,57,Graduate,Married,Employed,328900,0,Odisha,7,Car Loan / Vehicle Loan,54650,1,Rent,Car / Vehicle,916560,64,9.98,Good,0,4,1,Semi-urban,337500,1
Male,28,Graduate,Married,Employed,359600,115100,Tripura,6,Car Loan / Vehicle Loan,34640,1,Rent,Car / Vehicle,312570,30,10.72,Bad,0,5,1,Urban,99000,0
Female,65,Graduate,Married,Employed,478900,0,Telangana,4,Personal Loan,53300,0,Rent,Home,236890,38,11.51,Good,0,4,1,Urban,67600,1
Female,62,Graduate,Single,Self-employed,252200,0,Telangana,7,Home Loan,74520,1,Rent,Apartment/Flat,3921440,68,8.18,Good,0,4,0,Semi-urban,1244100,0
Male,40,Undergraduate,Married,Employed,836100,0,Haryana,10,Credit Card Loan,572370,0,Own,Home,286950,4,16.98,Bad,1,3,2,Urban,57600,0
Female,22,Graduate,Married,Self-employed,160500,86600,Tripura,0,Home Loan,45020,0,Family,Apartment/Flat,613500,145,10.7,Good,0,8,1,Semi-urban,5849500,0
Female,79,Graduate,Married,Self-employed,468900,0,Gujarat,9,Business Loan,58930,1,Rent,Commercial Property,2798620,33,10.43,Good,0,8,1,Urban,1249800,0
Male,46,Graduate,Single,Employed,567700,0,Andhra Pradesh,4,Home Loan,101040,2,Family,Apartment/Flat,2093250,135,12.9,Bad,1,4,4,Rural,998400,0
Female,74,Graduate,Single,Employed,1616100,220700,Puducherry,9,Credit Card Loan,640680,3,Own,Home,31670,16,12.42,Good,0,6,0,Semi-urban,57700,1
Female,60,Not Graduate,Married,Employed,235600,0,Gujarat,1,Car Loan / Vehicle Loan,177780,2,Rent,Car / Vehicle,699850,17,11.85,Bad,0,3,4,Rural,131400,0
Male,67,Graduate,Divorced,Employed,296700,65600,Chhattisgarh,9,Education Loan,192680,1,Rent,Agricultural Land,936590,95,6.6,Good,0,6,0,Semi-urban,134900,0
Female,65,Graduate,Married,Employed,646900,0,Karnataka,4,Home Loan,236480,1,Rent,Apartment/Flat,1547200,313,8.06,Good,0,12,0,Semi-urban,733700,1
Male,30,Undergraduate,Married,Employed,758500,0,Puducherry,10,Personal Loan,769090,0,Family,Home,195410,35,11.8,Good,0,2,2,Urban,110100,0
Female,40,Not Graduate,Married,Self-employed,276300,0,Delhi,4,Car Loan / Vehicle Loan,54570,0,Rent,Car / Vehicle,385290,12,10.28,Good,0,7,0,Urban,192300,1
Female,47,Undergraduate,Married,Employed,311500,0,Uttar Pradesh,8,Home Loan,36690,2,Rent,House,4547900,126,15.15,Bad,0,0,1,Semi-urban,1443800,0
Female,49,Undergraduate,Married,Employed,470000,0,Gujarat,6,Consumer Durable Loan,112810,0,Rent,Home,148040,18,18.04,Bad,3,9,5,Semi-urban,105500,1
Male,20,Not Graduate,Married,Employed,60000,0,Tamil Nadu,2,Home Loan,49660,0,Rent,Apartment/Flat,732110,210,6.0,Good,0,3,1,Semi-urban,1505100,1
